Food,CarbPer100g
апельсин,8.1
арбуз,5.8
дыня,7.4
мандарин,7.7
белый хлеб,49.1
хлеб белый,49.1
лаваш армянский,47.6
армянский лаваш,47.6
банан,21.8
яблоко Гольден,29.5
виноград,17.0
черешня,11.5
вишня,11.3
абрикос,9.0
персик,11.3
слива,9.6
чернослив,57.5
морковь,6.9
капуста белокочанная,4.7
белокочанная капуста,4.7
гречневая каша,25.0
каша гречневая,25.0
рис белый отварной,24.9
белый рис отварной,24.9
рис пропаренный отварной,27.7
пропаренный рис отварной,27.7
чечевица отварная,20.1
картофельное пюре,14.7
пюре картофельное,14.7
картофель жареный,23.4
жареный картофель,23.4
макароны отварные,23.2
блины,26.0
сахар-песок,99.7
белый сахар,99.98
сахар-рафинад,99.98
овсяная каша на молоке,14.2
каша овсяная на молоке,14.2
